filename,inference_time,robot_in_the_frame_or_not,detected_or_not,parallel_pixel_dist,size,perp_dist_to_the_robot_pred,dist_to_the_robot_gt,parallel_dist_to_the_robot_gt,perp_dist_to_the_robot_gt,angle
1708418267.160339_B.jpg,92.93603897094727,0,0,,,,14.308158770515513,4.932042,13.431246,1.2188756823598748
1708418267.187142_F.jpg,93.4441089630127,1,0,,,,14.308158770515513,4.932042,13.431246,1.2188756823598748
1708418268.169461_B.jpg,91.87650680541992,0,0,,,,14.262794426130982,5.103268,13.318557,1.204882454294483
1708418268.186727_F.jpg,91.06993675231934,1,0,,,,14.262794426130982,5.103268,13.318557,1.204882454294483
1708418269.177543_B.jpg,90.33322334289551,0,0,,,,14.255537011080465,5.295373,13.235534,1.1902144368571925
1708418269.240564_F.jpg,88.22298049926758,1,0,,,,14.255537011080465,5.295373,13.235534,1.1902144368571925
1708418270.216995_B.jpg,92.00906753540039,0,0,,,,14.22788937113854,5.432194,13.150061,1.1790543531944682
1708418270.347372_F.jpg,87.54515647888184,1,0,,,,14.22788937113854,5.432194,13.150061,1.1790543531944682
1708418271.174715_F.jpg,92.94342994689941,1,0,,,,14.231914208905877,5.588949,13.088584,1.1672248926061053
1708418271.304410_B.jpg,88.30428123474121,0,0,,,,14.231914208905877,5.588949,13.088584,1.1672248926061053
1708418272.166816_B.jpg,112.64538764953613,0,0,,,,14.244104675242527,5.807075,13.006629,1.1508814831302907
1708418272.192997_F.jpg,105.98611831665039,1,0,,,,14.244104675242527,5.807075,13.006629,1.1508814831302907
1708418273.176720_B.jpg,92.00525283813477,0,0,,,,14.25806006920875,5.955954,12.954493,1.1398559251850888
1708418273.195936_F.jpg,90.99078178405762,1,0,,,,14.25806006920875,5.955954,12.954493,1.1398559251850888
1708418274.169553_B.jpg,97.36037254333496,0,0,,,,14.25940557444682,6.175687,12.852686,1.12287186827954
1708418274.230401_F.jpg,91.47524833679199,1,0,,,,14.25940557444682,6.175687,12.852686,1.12287186827954
1708418275.215545_B.jpg,107.16104507446289,0,0,,,,14.286933310408816,6.304513,12.82067,1.1137737061331412
1708418275.353601_F.jpg,93.71495246887207,1,0,,,,14.286933310408816,6.304513,12.82067,1.1137737061331412
1708418276.173736_F.jpg,90.1329517364502,1,0,,,,14.336200885493515,6.5067,12.774565,1.0996982608633206
1708418276.311365_B.jpg,91.21108055114746,0,0,,,,14.336200885493515,6.5067,12.774565,1.0996982608633206
1708418277.163642_B.jpg,91.99953079223633,0,0,,,,14.391848001949228,6.692799,12.740947,1.0871154339364477
1708418277.190911_F.jpg,82.1084976196289,1,0,,,,14.391848001949228,6.692799,12.740947,1.0871154339364477
1708418278.174861_B.jpg,92.50783920288086,0,0,,,,14.449451762969279,6.83365,12.731374,1.0781775571195367
1708418278.192005_F.jpg,89.97130393981934,1,0,,,,14.449451762969279,6.83365,12.731374,1.0781775571195367
1708418279.169161_B.jpg,93.16182136535645,0,0,,,,14.521313274411133,7.055658,12.691975,1.0634232716746768
1708418279.224846_F.jpg,88.17553520202637,1,0,,,,14.521313274411133,7.055658,12.691975,1.0634232716746768
1708418280.211622_B.jpg,92.19074249267578,0,0,,,,14.620190321934423,7.288409,12.673952,1.0489094759050268
1708418280.336915_F.jpg,89.98298645019531,1,0,,,,14.620190321934423,7.288409,12.673952,1.0489094759050268
1708418281.180477_F.jpg,89.48659896850586,1,0,,,,14.719670135707524,7.462294,12.687902,1.0391412254632382
1708418281.311987_B.jpg,91.83549880981445,0,0,,,,14.719670135707524,7.462294,12.687902,1.0391412254632382
1708418282.161885_B.jpg,89.37525749206543,0,0,,,,14.796472363049274,7.636016,12.673865,1.0285399043252301
1708418282.185153_F.jpg,110.7339859008789,1,0,,,,14.796472363049274,7.636016,12.673865,1.0285399043252301
1708418283.171487_B.jpg,108.0162525177002,0,0,,,,14.899712548509955,7.839201,12.670768,1.016751776565239
1708418283.191788_F.jpg,113.6314868927002,1,0,,,,14.899712548509955,7.839201,12.670768,1.016751776565239
1708418284.167071_B.jpg,110.67605018615723,0,0,,,,15.03108948407593,8.060457,12.687107,1.0048055568557879
1708418284.225302_F.jpg,88.23084831237793,1,0,,,,15.03108948407593,8.060457,12.687107,1.0048055568557879
1708418285.223552_B.jpg,92.26465225219727,0,0,,,,15.091754675737642,8.110068,12.727445,1.003464214743955
1708418285.363786_F.jpg,91.1252498626709,1,0,,,,15.091754675737642,8.110068,12.727445,1.003464214743955
1708418286.182616_F.jpg,90.22688865661621,1,0,,,,15.067943922275694,8.121714,12.691757,1.0015396197380952
1708418286.319010_B.jpg,88.56368064880371,0,0,,,,15.033664755690808,8.16648,12.62219,0.9965372574959019
1708418287.163649_B.jpg,94.7411060333252,0,0,,,,14.98074264202229,8.193868,12.541259,0.9920676652563429
1708418287.192917_F.jpg,90.09671211242676,1,0,,,,14.98074264202229,8.193868,12.541259,0.9920676652563429
1708418288.178016_B.jpg,92.32187271118164,0,0,,,,14.78163512966343,8.211842,12.290744,0.9817797997511601
1708418288.204062_F.jpg,94.9239730834961,1,0,,,,14.78163512966343,8.211842,12.290744,0.9817797997511601
1708418289.168030_B.jpg,89.44320678710938,0,0,,,,14.635007995981587,8.225731,12.104578,0.9739237718213303
1708418289.239569_F.jpg,93.88852119445801,1,0,,,,14.635007995981587,8.225731,12.104578,0.9739237718213303
1708418290.224634_B.jpg,92.12374687194824,0,0,,,,14.475341214937144,8.189873,11.935723,0.9694162060741096
1708418290.358117_F.jpg,88.39583396911621,1,0,,,,14.393840560240934,8.195114,11.833121,0.9650829669670185
1708418291.181141_F.jpg,88.91606330871582,1,0,,,,14.32020164929129,8.175474,11.757117,0.9631886623474674
1708418291.311591_B.jpg,91.23444557189941,0,0,,,,14.231559180947288,8.152447,11.665114,0.9608263449269138
1708418292.159871_B.jpg,89.08939361572266,0,0,,,,14.132452845893843,8.095822,11.583777,0.960813624091638
1708418292.200511_F.jpg,90.20662307739258,1,0,,,,14.132452845893843,8.095822,11.583777,0.960813624091638
1708418293.180614_B.jpg,89.14804458618164,0,0,,,,13.959348588727089,8.042634,11.409621,0.9567897957843556
1708418293.201771_F.jpg,92.18502044677734,1,0,,,,13.959348588727089,8.042634,11.409621,0.9567897957843556
1708418294.186085_B.jpg,104.17580604553223,0,0,,,,13.786258193136128,7.998657,11.228642,0.9518336782587614
1708418294.209165_F.jpg,113.6317253112793,1,0,,,,13.786258193136128,7.998657,11.228642,0.9518336782587614
1708418295.201118_B.jpg,112.03360557556152,0,0,,,,13.574855916046586,7.88542,11.049745,0.9509817357793744
1708418295.331738_F.jpg,103.69873046875,1,0,,,,13.574855916046586,7.88542,11.049745,0.9509817357793744
1708418296.188649_F.jpg,118.16048622131348,1,0,,,,13.370616713957512,7.794718,10.863506,0.9484124327589342
1708418296.299648_B.jpg,97.44834899902344,0,0,,,,13.370616713957512,7.794718,10.863506,0.9484124327589342
1708418297.164282_B.jpg,114.62879180908203,0,0,,,,13.240208197050228,7.732556,10.74759,0.947123184278313
